processed_text_gpt_lematizado,count
hsrealizado,6
identifico,6
apresentada,6
marisa,6
coronaria,6
fácies,6
angiossarcoma,6
supraventricular,6
mcgkgmin,6
concentrada,6
marcela,6
mgd,6
tpo,6
presc,6
ial,6
estadiamento,6
coronárias,6
apicoposterior,6
inadequado,6
hepáticos,6
protrusão,6
hasmuc,6
andrea,6
guarda,6
pósprocedimento,6
tendao,6
identificacao,6
afeto,6
ressoante,6
metadona,6
desnutrido,6
isossorbida,6
variar,6
carboidrato,6
amputaçao,6
terapeuticas,6
intramural,6
autoestima,6
miomas,6
pneumopatia,6
probabilidade,6
labirin,6
quadrantectomia,6
dmsg,6
normoativos,6
pneumoperitôneo,6
pancreatico,6
decisão,6
piscina,6
quantitativo,6
dem,6
diuretico,6
estase,6
biometria,6
magna,6
visibilizado,6
eventual,6
noites,6
amorfo,6
enfermagemrecebo,6
dural,6
aderencia,6
hepatomegalia,6
corporais,6
psqueixa,6
negativomembros,6
kcalkgdia,6
farmacêuticas,6
cardiacas,6
oreinto,6
extensamente,6
falange,6
enfermagemhrs,6
arruda,6
cardiogênico,6
coronariopatia,6
rdt,6
momentosegue,6
repuncionado,6
lucilene,6
donepezila,6
mvpeplbhmaterdeicombrmvpepptbrdmvpeplistapacientelistatodospacienteshmvpeptemadoceletronicoeditor,6
ventilatória,6
baixas,6
orientacao,6
agostinho,6
umero,6
conceição,6
rigorosa,6
toxicidadesdescrever,6
exposto,6
vestibular,6
vera,6
intraparto,6
intraoperatórioinício,6
lidocaina,6
outtérmino,6
bateu,6
bloqueios,6
laringe,6
ecoeda,6
parciais,6
barreira,6
acinar,6
fl,6
lauzeane,6
analgesicos,6
topiramato,6
depender,6
submeterse,6
metálicos,6
inconsistências,6
gasto,6
coletora,6
mtd,6
lâminas,6
agradece,6
dcc,6
sulfadiazina,6
broncogramas,6
hcd,6
clinda,6
quaisé,6
nãoestá,6
amígdalas,6
resto,6
lio,6
niveis,6
tardio,6
avei,6
vet,6
discurso,6
sacar,6
mandibular,6
coxofemoral,6
modifico,6
flavio,6
cexame,6
extravasamento,6
reacional,6
psoriase,6
decorrente,6
pinsp,6
anticoagulante,6
broncoapiração,6
constipaçao,6
ligação,6
pseudomonas,6
remedio,6
ampla,6
lupus,6
dramim,6
trindade,6
corpórea,6
inalterada,6
humana,6
anestésicas,6
homens,6
disautonomia,6
reabsorção,6
tubos,6
alongada,6
lar,6
cre,6
omar,6
cardiorenal,6
absolutas,6
taquiarritmia,6
cirurgiaprocedimento,6
acompanhando,6
bl,6
emito,6
exapansiva,6
lpps,6
fino,6
nutriçãohidratação,6
destacandose,6
sergio,6
alcachofra,6
yacon,6
hiperatividade,6
flocos,6
liquórica,6
primaria,6
fisher,6
transfundida,6
opmes,6
enviadas,6
nutrida,6
operação,6
perdida,6
gelatina,6
socialmente,6
tolerar,6
dle,6
ilíacas,6
converse,6
proliferação,6
indicando,6
zobec,6
pfp,6
ctg,6
escroto,6
gastroenteriteconduta,6
usonega,6
toalhas,6
empiema,6
centralevolui,6
posiciona,6
hematico,6
dornega,6
condutarotina,6
anote,6
cipe,6
bocal,6
sara,6
engasgo,6
hemicraniana,6
nuclear,6
empastamentos,6
danielle,6
manuseio,6
residuo,6
carotídeo,6
carteira,6
olanzapina,6
diminuídos,6
ingressa,6
convulsivo,6
sraabdome,6
caroço,6
mota,6
lipoma,6
direto,6
transito,6
vermelhidão,6
extremamente,6
iracema,6
trombolisado,6
nacl,6
sintomasap,6
resíduo,6
insípidus,6
dragger,6
irritabilidade,6
topico,6
hálux,6
pezinho,6
recentesinais,6
rubéola,6
figueiredo,6
gase,6
melão,6
alinhados,6
estimativa,6
gástricas,6
gilson,6
revisao,6
cedida,6
cmb,6
controladas,6
aqualizado,6
tirar,6
grafico,6
sujidades,6
tamoxifeno,6
pbe,6
valvares,6
dizer,6
aerolin,6
anamnesepaciente,6
costuma,6
predm,6
valeria,6
moída,6
mina,6
relatava,6
aplicapressão,6
oculos,6
chs,6
dormonid,6
fcc,6
hipoativa,6
hemoderivados,6
mvpeplbhmaterdeicombrmvpepptbrdmvpeplistapacientelistapacienteshmvpepavaliacao,6
karnofsky,6
invista,6
tragam,6
cuidar,6
trr,6
torradas,6
cottage,6
opcional,6
alface,6
particular,6
lentificado,6
usoexame,6
suficiente,6
dcv,6
alergiasap,6
srl,6
tgc,6
may,6
vasto,6
corrimentos,6
impactado,6
cenoura,6
abobrinha,6
neoplásico,6
passam,6
escolhas,6
descompensado,6
vitaisrealizado,6
beneficiárioa,6
tornozelos,6
cigarrosdia,6
uavf,6
prénatal,6
pg,6
hdf,6
rosario,6
referência,6
linfonodal,6
contactando,6
estridor,6
remédio,6
formas,6
extração,6
mtf,6
cruzado,6
propia,6
normoposicionado,6
imuno,6
alteplase,6
fisioterapiauti,6
drenado,6
hipóxia,6
necessarioh,6
calcanhar,6
repolarização,6
basilar,6
sífilis,6
tumores,6
semiovais,6
apresentamse,6
compreendeu,6
condom,6
primárias,6
documentação,6
eixos,6
femurais,6
superficiais,6
reavaliaçao,6
facil,6
atrasada,6
proprio,6
et,6
hipodensa,6
cura,6
utilizadas,6
encontrado,6
diverticulite,6
acentuado,6
adaptada,6
extremum,6
sentadapa,6
freire,6
dosen,6
tapazol,6
ige,6
visualizados,6
tátil,6
toxo,6
permanencia,6
gestos,6
diafragma,6
aaacv,6
terceiro,6
folias,6
dmii,6
urease,6
efluente,6
orificio,6
diego,6
bortezomib,6
associação,6
cachorro,6
sedema,6
frrpm,6
bup,6
edemaciados,6
impérvio,6
tomográficos,6
negaao,6
comprometendo,6
eletrica,6
consigo,6
un,6
penetração,6
diaramente,6
ordens,6
mortalidade,6
elevar,6
colicas,6
monocular,6
ramalho,6
terceiros,6
cornea,6
alterçoes,6
vdc,5
enfermagemorientado,5
studart,5
inativo,5
david,5
deficiente,5
descarga,5
postectomia,5
icterica,5
pammhg,5
nmusuario,5
dscargousuario,5
sessao,5
mucinoso,5
inter,5
hemiface,5
sbre,5
atipias,5
camilo,5
recalculo,5
colt,5
rcd,5
tomado,5
princípio,5
mamilo,5
nãomédico,5
colocaçao,5
hemax,5
litio,5
enviada,5
hemático,5
diminutos,5
urgente,5
rel,5
linfócitos,5
tavi,5
tolera,5
eupenico,5
cístico,5
intraoperatorio,5
broncoaspirativa,5
empregada,5
compõem,5
apice,5
reinaldo,5
mn,5
físicas,5
onco,5
cronicas,5
adrenalina,5
traqueobronquite,5
brócolis,5
gosta,5
rosuva,5
verbalizante,5
contraindicado,5
proximais,5
lubrificante,5
centrada,5
omega,5
gorduroso,5
irradiaçao,5
deise,5
ezetimiba,5
news,5
luciano,5
of,5
tnm,5
alarmestatus,5
fixa,5
aasmg,5
metabolismo,5
transtorácico,5
sylvius,5
atribuível,5
finalizou,5
aortoilíacas,5
ilíaco,5
menstruada,5
ovariana,5
saulo,5
citoneurin,5
peniana,5
questão,5
frequentar,5
fornecer,5
contribua,5
coronarias,5
diferentes,5
ginecologista,5
enm,5
examinada,5
occiptal,5
peritoneais,5
atinge,5
trombolisada,5
nãorôto,5
ocasionado,5
orientadas,5
hbgl,5
comportamentais,5
leitos,5
ostio,5
luxação,5
ode,5
viabilizando,5
supracitado,5
dentárias,5
laterolateral,5
sedestada,5
tempopaciente,5
hiperdenso,5
chuchu,5
músculos,5
subaguda,5
cesáreo,5
sapatos,5
ictérica,5
pensar,5
si,5
cuscuz,5
rúcula,5
julgular,5
rxt,5
distendida,5
douglas,5
soluções,5
ritimo,5
hemotórax,5
neutrofer,5
bastos,5
nodulação,5
abundantes,5
cuidadosh,5
ped,5
febrepaciente,5
osteomioarticulares,5
retrações,5
mudar,5
ga,5
rabilitação,5
tempoespaço,5
hiabc,5
ectopia,5
significativos,5
inferolateral,5
mvbd,5
lino,5
finanças,5
resolver,5
cerumin,5
prontas,5
age,5
variada,5
repousoh,5
adultopaciente,5
peristaltismo,5
descritas,5
inalação,5
cuidadororiento,5
helena,5
desligar,5
parestesias,5
patinho,5
exemplo,5
macronebulização,5
infeciosa,5
aasi,5
mmiisem,5
síntese,5
refluxos,5
anamnesecefaleia,5
abortos,5
intercostal,5
cdsolicito,5
thalita,5
tela,5
arresponsivo,5
hmapcte,5
membranas,5
diálogo,5
mara,5
matinal,5
testo,5
mia,5
edemaciadas,5
susceptivel,5
ult,5
solto,5
mielopatia,5
eventuais,5
alteracao,5
masculina,5
corto,5
brancas,5
resolve,5
realizdo,5
fonoaudiólogo,5
con,5
ausc,5
procedimentoh,5
giovanna,5
ieca,5
traumatica,5
gg,5
reorientada,5
leal,5
hemodinamicâmente,5
glicosado,5
apneia,5
hi,5
upp,5
cristiana,5
ccg,5
linguinha,5
recebidos,5
medicamentosamedicada,5
hipercolesterolemia,5
fechar,5
reumatóide,5
litrosmin,5
amoxacilina,5
hidratadaar,5
fontana,5
inseto,5
coçar,5
melhorara,5
medicasfoi,5
passagens,5
moniliase,5
esofagica,5
ginecologicos,5
mensuro,5
scale,5
esperado,5
calcâneo,5
lev,5
irritaçao,5
penicilinas,5
cog,5
bepantol,5
endoprotese,5
meningios,5
mantovani,5
trazodona,5
cirugico,5
cabeca,5
próximas,5
colírio,5
cmbcf,5
evitado,5
masto,5
edemasausente,5
facilitar,5
peg,5
interdialítico,5
ptb,5
sint,5
portocath,5
cne,5
informando,5
conferidas,5
molhada,5
básica,5
secos,5
raiane,5
bossa,5
avaliadas,5
salinização,5
inativa,5
hrecebo,5
médicasegue,5
circular,5
alérgia,5
ssvvhs,5
metropolol,5
amigdaliano,5
rebaixado,5
diaqueixa,5
sugerese,5
pipoca,5
feijões,5
grãodebico,5
lactulona,5
fúrcula,5
fetido,5
samantha,5
diverticulo,5
asp,5
foley,5
hc,5
acrocordons,5
subir,5
puncionar,5
dejejum,5
elevadasrisco,5
passando,5
recoleta,5
betaglucanos,5
microorganismos,5
centralizada,5
desnutrida,5
trocada,5
colhidos,5
generalizado,5
baixos,5
luiza,5
tail,5
espontaneas,5
reposiçao,5
souzatécnicoa,5
ameixa,5
predito,5
favorecer,5
seguros,5
contraindicações,5
alcalina,5
iah,5
analisar,5
hepatorenal,5
crepitantes,5
sedacao,5
supracitados,5
caracterizando,5
decorrência,5
distância,5
condulta,5
medicahs,5
vac,5
ivermectina,5
orient,5
inclui,5
gastroenterologista,5
suor,5
descoberta,5
queixou,5
esternal,5
insular,5
linfoide,5
obrigatório,5
barba,5
hemodinâmico,5
diashda,5
fenta,5
positivos,5
coagulo,5
hipersinal,5
lana,5
subfebril,5
tipicamente,5
digeplus,5
tardeprocedimentos,5
crepitação,5
timpânia,5
brilhante,5
úvula,5
irma,5
volemica,5
norepinefrina,5
srca,5
septoplastia,5
evasão,5
mulheres,5
pesada,5
avch,5
conseguido,5
reduziu,5
esbranquiçada,5
fluída,5
ptta,5
acetabulo,5
diademaqueixa,5
alimentoshda,5
uidia,5
validada,5
morfológico,5
aéreos,5
loculado,5
expiratorios,5
chaaaar,5
nãoinstrumental,5
gerias,5
ceratoses,5
saudáveis,5
negabeg,5
congestiva,5
introduzo,5
tsr,5
raphael,5
sobrecarga,5
comprimindo,5
colírios,5
atingiu,5
chaves,5
hipotireidismo,5
diana,5
motorsensitivo,5
iiib,5
comunica,5
anecogênico,5
extensas,5
bronquiectasias,5
distando,5
heterogenea,5
promovendo,5
isaias,5
aquecimento,5
esclarecido,5
glutamico,5
avamys,5
reenchimento,5
integradornúmero,5
icfer,5
examesco,5
endoscópica,5
extensor,5
liticas,5
ortopédica,5
adaptou,5
insyte,5
irradiada,5
ndnar,5
sero,5
josiane,5
arcabouço,5
colorretal,5
propafenona,5
minoxidil,5
betim,5
terceira,5
diferente,5
conferidos,5
sobrinha,5
mirtazapina,5
cranberry,5
anexados,5
encontravase,5
classificada,5
moleculares,5
coito,5
rafia,5
visualizo,5
sequese,5
ul,5
vjie,5
homogenea,5
volêmica,5
desejum,5
mgevacuação,5
empachamento,5
lo,5
prolopa,5
esqueceu,5
familair,5
broncodilatador,5
medios,5
reag,5
endocardite,5
menisco,5
uc,5
cupula,5
fisicopa,5
gkgdia,5
frias,5
psicologo,5
físicopa,5
extrassistoles,5
metastático,5
acerca,5
normotérmico,5
bzd,5
reuniao,5
amigdala,5
omelete,5
fant,5
qtrt,5
glicerina,5
esporão,5
deixou,5
negavicios,5
diureticos,5
addera,5
vilma,5
novais,5
mhz,5
identificadas,5
certeza,5
preferir,5
transdutores,5
just,5
coferência,5
tentou,5
onicomicose,5
monica,5
complexidade,5
rev,5
marcar,5
lma,5
ascítico,5
sofrer,5
alprazolan,5
encontrava,5
adrv,5
examereg,5
colho,5
comprimidos,5
densas,5
comparação,5
nucleocapsular,5
alargado,5
geriatrica,5
realidade,5
medicaçaõ,5
politrauma,5
matendo,5
intencional,5
abóbora,5
mantémse,5
tristeza,5
sedentário,5
edemassem,5
curta,5
ardor,5
adicional,5
necessáriohs,5
proeminentes,5
evoluido,5
normalusg,5
anticoagulantes,5
alarmeprescrevo,5
medicaçãoprescrevo,5
claudicação,5
aumentou,5
infecçao,5
brasart,5
fd,5
uremia,5
aluminio,5
bidimensional,5
morfologicamente,5
xarope,5
chaaaacv,5
abstinencia,5
ddimero,5
angioedema,5
nascer,5
consultado,5
mello,5
anlodipina,5
incluo,5
craneo,5
descrevatratamentos,5
recepçao,5
urinai,5
polipos,5
sucçao,5
condensação,5
aphas,5
poliuria,5
gardes,5
momentonega,5
xxfluxo,5
exam,5
esomeprazol,5
quiteria,5
cefalico,5
benignas,5
dpi,5
jennifer,5
escurecida,5
gpid,5
diarreica,5
anatomopatologico,5
malar,5
sea,5
mantevese,5
espessado,5
fuma,5
correçao,5
sufusões,5
morfológica,5
colabamento,5
nitrato,5
continuas,5
ventilador,5
microalbuminúria,5
pettc,5
apnega,5
canuto,5
hasem,5
retinopatia,5
hosp,5
perde,5
nutriçãovisita,5
chcm,5
to,5
sva,5
atv,5
edemasorof,5
usuais,5
prova,5
sintomasnega,5
cristiano,5
creche,5
estimados,5
estimo,5
clavículas,5
stress,5
prostatico,5
desogestrel,5
patch,5
bbt,5
próprios,5
fronte,5
gengivas,5
encefalo,5
translúcidas,5
corenspte,5
vigoroso,5
pdd,5
damiana,5
montante,5
ionico,5
fluxos,5
flogisiticos,5
validado,5
mamario,5
crônicas,5
samanta,5
mcc,5
eliminacoes,5
médicahs,5
adendo,5
iniciadas,5
monocorionicadiamniotica,5
acompanhantes,5
broncoespasmos,5
conferir,5
salão,5
laboral,5
raquesedação,5
grata,5
cirurgio,5
hipocontratilidade,5
almofadada,5
associar,5
armvf,5
normotróficas,5
patelar,5
uterinas,5
protocolado,5
silvaauxiliar,5
artefato,5
diagnósticodm,5
limatécnicoa,5
sanguineo,5
preemptivo,5
qsm,5
ruído,5
adventício,5
puerperais,5
tampão,5
repetitivo,5
uiml,5
calcificados,5
suspeitos,5
estende,5
mostrando,5
classificaçãoexcesso,5
metabolica,5
sv,5
comentários,5
sueli,5
ferramenta,5
oliguria,5
entupido,5
amolecidas,5
preferencias,5
mesmas,5
ronco,5
perca,5
verruga,5
possuinivel,5
terciárioavaliação,5
zofran,5
absoluto,5
medicaçãoalta,5
anosnega,5
trocado,5
df,5
matenho,5
coradoa,5
escitalopran,5
antimicrobiano,5
quadrantes,5
examesusg,5
ctnm,5
convulsões,5
dc,5
desconto,5
utiprocedimentos,5
cafeismo,5
péptica,5
aguiar,5
vacuo,5
gonartrose,5
escuta,5
azevedo,5
acrocórdons,5
feitas,5
relativa,5
jd,5
entubaçãoiot,5
congelaçãodescrição,5
laxante,5
coletadas,5
cam,5
clenil,5
conscienteorientada,5
furcula,5
senha,5
adiministrado,5
atp,5
nor,5
samira,5
legenda,5
hag,5
comparecer,5
nodulações,5
xrosuvastatina,5
papilifero,5
mogi,5
femorais,5
timeoutentrada,5
nãomanta,5
esf,5
nítidos,5
ocorrido,5
velija,5
desconheceexame,5
seroma,5
hematocrito,5
mvpeplbhmaterdeicombrmvpepptbrdmvpeplistapacientelistapacienteshmvpeplinkseguro,5
taquipneica,5
janelas,5
intradural,5
desenvolver,5
conhecidas,5
tecidual,5
sr,5
regiane,5
nãomeia,5
esbl,5
coelho,5
rose,5
insonia,5
triglicerideos,5
pant,5
direitas,5
asseptica,5
preenchido,5
higienizado,5
obesa,5
analgesico,5
suspende,5
autógena,5
jaciara,5
drca,5
estatina,5
eletrônico,5
neta,5
medicamentosanega,5
eca,5
test,5
afonso,5
sinusopatia,5
nosocomial,5
retirou,5
praia,5
encaixe,5
dagua,5
colpo,5
semielevado,5
fenitoina,5
lacrimejamento,5
sensopercepção,5
requisitos,5
totais,5
aalbuminúria,5
nefrite,5
túbulo,5
tonus,5
óstios,5
espondiloartrose,5
aspectos,5
ribeirão,5
treinamento,5
flatulencia,5
recordatório,5
pte,5
alocada,5
ortolani,5
potencialmente,5
avulsos,5
traube,5
receptiva,5
metastasis,5
neoplásica,5
faringite,5
atende,5
saindo,5
prolactina,5
especifico,5
murilo,5
acbrnf,5
fabiola,5
proteus,5
marcella,5
priorize,5
associe,5
taninos,5
oxalatos,5
fitatos,5
trapézio,5
irregularidade,5
escleróticas,5
raquiano,5
forames,5
úmidas,5
portal,5
panela,5
contribui,5
fogachos,5
ressecçao,5
salvador,5
funcionais,5
aderencias,5
unimed,5
robótica,5
colete,5
escoriação,5
fina,5
imi,5
clínicaplano,5
localmente,5
pescoçoaparelho,5
fâneroshipótese,5
mcd,5
baso,5
alegando,5
rnpt,5
adbome,5
scih,5
corticóide,5
segmentados,5
nãomarcadores,5
demarcada,5
gilberto,5
sistemicos,5
estático,5
periumbilical,5
aeconduta,5
qualis,5
kamila,5
inerentes,5
eutrófica,5
solido,5
musculo,5
mmiiss,5
xícara,5
citoneurim,5
dis,5
tração,5
clínicoqueixa,5
prandial,5
mobilizações,5
hilares,5
zinnat,5
notado,5
elástica,5
elásticas,5
adj,5
cardioembólico,5
gatilho,5
amoxilina,5
mida,5
coanas,5
repetiu,5
alargamento,5
observamos,5
piorar,5
encorajar,5
tiro,5
adventícioshipótese,5
frirpm,5
interrupção,5
optamos,5
prega,5
fisioterapeutamanha,5
contusao,5
mucoso,5
meatos,5
aspergilose,5
creptos,5
ativodose,5
administraçãoreconciliadosubstituído,5
orifício,5
suelen,5
cacau,5
palma,5
fique,5
heart,5
papa,5
encontradas,5
periodicidade,5
reconcialiação,5
valdomiro,5
mentoniana,5
variação,5
anatômica,5
trombólise,5
pcesariana,5
y,5
miron,5
ooforectomia,5
musculos,5
repousodiagnósticos,5
luts,5
terminou,5
jj,5
gigante,5
hppnega,5
antenor,5
gomesenfermeiroa,5
ptfe,5
betaistina,5
pulsatil,5
budesonida,5
fragmentos,5
cardiovasculares,5
queiroz,5
obstrutivos,5
tomográficas,5
nascida,5
agu,5
ofas,5
lábios,5
pálpebras,5
campimetria,5
espansibilidade,5
levemoderada,5
proctologia,5
luciane,4
nu,4
skater,4
negativoconduta,4
receptivo,4
nervos,4
adultohorário,4
xxmm,4
solcito,4
sedentario,4
isocóricax,4
contraturas,4
coxinhas,4
vasectomia,4
eventualmente,4
excêntrica,4
ecofetal,4
aeruginosa,4
icterico,4
aposentada,4
cobertor,4
ipratropio,4
colédoco,4
acessíveis,4
especialmente,4
vagem,4
perfundido,4
pseudoaneurisma,4
reposo,4
secundarias,4
chaaane,4
dirieto,4
logado,4
corenmg,4
ocluída,4
gastroscopia,4
convencionais,4
mari,4
intraluminal,4
planilha,4
caqui,4
angustia,4
minimizar,4
bagaço,4
ilpi,4
oftálmicas,4
neuroendócrina,4
infiltrativa,4
sincrônicos,4
espumosa,4
situs,4
ofereço,4
ldgcb,4
click,4
monique,4
guarulhos,4
ginecológicos,4
fasceite,4
dispondo,4
infrast,4
spm,4
imosec,4
anamnesetosse,4
obstetrica,4
pressóricos,4
déficts,4
dirigir,4
tangerina,4
tiocolchicosideo,4
ssvvhrs,4
caracterizados,4
normalao,4
mesquita,4
saúdefuncional,4
sapsiii,4
toracico,4
michel,4
quiabo,4
vigente,4
ram,4
corretos,4
bronquiolite,4
moderadas,4
osteoartrose,4
obstrutivas,4
assento,4
diosmin,4
duracao,4
macro,4
drive,4
vosim,4
deambulante,4
lin,4
descamativa,4
merces,4
ambienteabdômen,4
aabrnf,4
fonoaudiologica,4
ventilatóriosnão,4
febrequeixa,4
caixinha,4
psabc,4
enfermagempaciente,4
hasdlp,4
rcrtbnf,4
homogêneos,4
alveolar,4
diasalta,4
espirrar,4
fosf,4
saliva,4
libido,4
mc,4
goles,4
fcd,4
lanches,4
tabagismonega,4
devolutiva,4
evaresultado,4
conduzida,4
leitocalma,4
hemoterapia,4
endoscópicos,4
cva,4
mghdl,4
multiplo,4
antigeno,4
endurecida,4
fosseta,4
facies,4
jeolho,4
utiprioridade,4
identificados,4
adenoidectomia,4
direcionamento,4
antinflamatórios,4
persistentes,4
rejeição,4
esteróides,4
evacuou,4
mentais,4
diastole,4
examespaciente,4
fornecidas,4
procurando,4
psicoeducação,4
retiniano,4
realizaçao,4
gluteos,4
val,4
envolvo,4
enfermage,4
fuvlp,4
neoadjuvante,4
fobia,4
pessoaisnega,4
dormencia,4
vencimento,4
transportado,4
laríngea,4
olmesartana,4
adimito,4
otimista,4
articulares,4
infundida,4
infundia,4
entrevista,4
porte,4
relaciona,4
solo,4
bandagens,4
avermelhada,4
ungueal,4
discordancia,4
pleno,4
qil,4
crianca,4
clorpromazina,4
atingindo,4
abordada,4
zelia,4
diástole,4
nefrotoxicos,4
cataflan,4
caraterizado,4
ajustada,4
embiente,4
grm,4
globais,4
marilda,4
hiperlipidemia,4
automedicar,4
pólipos,4
ferraz,4
atualização,4
vita,4
lingua,4
perguntas,4
isofotorreagente,4
urato,4
antidepressivo,4
córtex,4
deita,4
enfemagem,4
meníngeosacv,4
je,4
ptndia,4
procurado,4
cleide,4
cavalcante,4
oralhs,4
qdhpma,4
noto,4
mímica,4
grannum,4
esquecimento,4
ambulatorialmente,4
diniz,4
dante,4
nitidamente,4
mercurio,4
clavulim,4
scor,4
duodeno,4
tric,4
bolinhas,4
passe,4
enfermagembeneficiario,4
noturnoprocedimentos,4
nefretica,4
actinicas,4
bioq,4
oc,4
atropina,4
extubado,4
pseudocisto,4
tardia,4
reatendo,4
pélvicos,4
blas,4
lactado,4
voltarem,4
íleo,4
sus,4
distensibilidade,4
cito,4
caminhadas,4
dellirium,4
perioral,4
hnf,4
linfo,4
lingual,4
intravenoso,4
cdretorno,4
umbigo,4
loc,4
venha,4
recuperar,4
ingerido,4
verbalização,4
condutaretorno,4
compreendem,4
organizada,4
tarefas,4
artificiais,4
travadagrades,4
descanso,4
tinnitus,4
necessitou,4
piorado,4
marlene,4
pandemia,4
consultaperguntada,4
vinham,4
deito,4
estavamos,4
encaminhando,4
clonico,4
controlamos,4
persistiram,4
relevante,4
subpleurais,4
consolidativas,4
negahf,4
anosmia,4
miriam,4
negativaalertada,4
genitores,4
capsula,4
mecania,4
diáfise,4
traquestomia,4
escores,4
transportador,4
raízes,4
hipogastro,4
massasvisceromegalias,4
multifrequencial,4
geraisoriento,4
antígeno,4
pretermo,4
bradicardico,4
salpingectomia,4
culturashmc,4
endoprótese,4
pneumoventrículo,4
sincrônico,4
pavilhão,4
cuffometro,4
clostridium,4
convexo,4
analiso,4
ncd,4
diurnoprocedimentos,4
creptações,4
alocado,4
radical,4
prontosocorro,4
sinta,4
digestórioprofilaxia,4
operado,4
geniturináriodiurese,4
infecciosoprotocolo,4
lombosacra,4
sen,4
aleixo,4
osteofitose,4
espaços,4
paravertebrais,4
coletada,4
deixado,4
querer,4
possiblilidade,4
familiarnega,4
raro,4
recende,4
primeiras,4
aureus,4
caneta,4
ed,4
indolores,4
compressao,4
miomectomia,4
desospitalização,4
nbz,4
sozinha,4
analisados,4
dispensação,4
obliteração,4
peritraqueo,4
dorflex,4
keila,4
alteraçõesoroscopia,4
faustino,4
torrada,4
ambulatoriais,4
dei,4
refazer,4
angelica,4
mater,4
párcialmente,4
trimestral,4
enterais,4
flatulência,4
rts,4
antec,4
equina,4
tese,4
marinho,4
aldactone,4
protrusões,4
toalha,4
dpo,4
egfr,4
esofagico,4
medicacoes,4
homogeneo,4
martinstécnicoa,4
expansividade,4
estudante,4
percebo,4
cadeirante,4
rompimento,4
cecília,4
notandose,4
glioma,4
cesareas,4
tabágica,4
glasgw,4
visualização,4
terapêuticas,4
fé,4
sentido,4
cecilia,4
gislene,4
trayenta,4
gelco,4
atento,4
levando,4
pizza,4
pielsana,4
inespecíficas,4
voluson,4
liq,4
vigilia,4
evacuado,4
ácida,4
lobar,4
valvopatia,4
aceitável,4
atorva,4
igor,4
participação,4
nutricionalsobrepeso,4
coletados,4
aversão,4
queloide,4
eduarda,4
monitorisado,4
elevadasob,4
nrl,4
audio,4
amilse,4
melanose,4
nebacetin,4
diaspaciente,4
aguarde,4
favorece,4
geralprescrição,4
queixasao,4
edemasoro,4
edemaciada,4
pushipótese,4
alendronato,4
snstatus,4
indicar,4
tazobactam,4
procediemento,4
biomicroscopia,4
mexer,4
nefrotoxicidade,4
incômodo,4
brônquicas,4
esporádica,4
expressar,4
repercussões,4
mvfd,4
pressórica,4
compdia,4
medicapaciente,4
limbo,4
radiológica,4
dutra,4
estrutura,4
vila,4
torção,4
exercendo,4
interlobulares,4
megalias,4
disfuncao,4
trach,4
dietas,4
manualmente,4
córmica,4
vitaissem,4
pca,4
iamsst,4
incentivar,4
morrer,4
hipotrofia,4
bcnfrt,4
elevando,4
tendão,4
coraçãozinho,4
comorbidadesef,4
rov,4
prado,4
eoa,4
plataforma,4
usuário,4
gasosas,4
intraventricular,4
psiquiatrico,4
injúria,4
srt,4
rotura,4
concor,4
semáforo,4
forca,4
fumou,4
lactante,4
ultrasson,4
maçosano,4
oscilante,4
navicular,4
alginato,4
anisocóricas,4
chefe,4
leitohs,4
daiana,4
shiley,4
ondansentrona,4
raabdomen,4
retono,4
eletronico,4
impalpáveisbristol,4
nyha,4
giii,4
traumatismo,4
exérese,4
induzida,4
pio,4
luminosos,4
mariano,4
joao,4
amigdaliana,4
bíceps,4
colchao,4
bainha,4
consumaos,4
flancos,4
examinados,4
dbmembros,4
diovan,4
assegurar,4
psf,4
descobriu,4
ocasionou,4
pneumoencefalo,4
laxativos,4
macroscópica,4
palestra,4
frequenta,4
rot,4
fecaloma,4
eletrocoagulação,4
hojesem,4
direitaap,4
hiperoxia,4
empurrar,4
deliruim,4
zconduta,4
libera,4
desconhecer,4
previstas,4
neuroproteção,4
colaborador,4
neutrofilo,4
kgaltura,4
hashimoto,4
indivíduo,4
etiqueta,4
otoacústica,4
evocada,4
matilde,4
marta,4
polegar,4
custo,4
punções,4
claviculas,4
ccii,4
anelar,4
umida,4
consideradas,4
intermédica,4
pigmentada,4
infusões,4
hormônio,4
parcimoniosa,4
organizar,4
luto,4
cardiogenico,4
precedida,4
iris,4
aguardado,4
de,4
colangiorm,4
organizado,4
paresia,4
transv,4
cicero,4
rósea,4
toracoabdominal,4
crepioca,4
tenesmo,4
deambulava,4
preservadagastrointestinal,4
posologia,4
fornecedor,4
físicoreg,4
dermolipectomia,4
pcst,4
moivel,4
pulceira,4
optou,4
hemangioma,4
colageno,4
ovalada,4
critico,4
realta,4
celulite,4
polarizante,4
prestadores,4
subseroso,4
transfusao,4
acid,4
anamneseqpdhpmapaciente,4
préexistente,4
cmna,4
soprosaparelho,4
aquino,4
cassio,4
fv,4
hemorrágico,4
temporeavalio,4
lombalgiaconduta,4
sianis,4
refratariedade,4
chaae,4
hematêmese,4
fam,4
bdas,4
portovack,4
acumulado,4
utiliz,4
telefonepós,4
normocalórico,4
papagaios,4
bengalas,4
obtidos,4
esvaziandoos,4
comadres,4
fluidos,4
mesogastrico,4
mtx,4
desloratadina,4
